Comment,Designator,Footprint,LCSC,Quantity
0R,R9,R0402,C17168,1
0R5,R13,R1206,C859934,1
1.1A,F1,1206L110THYR,C126818,1
1.2K,R15,R0805,C17379,1
100K,"R10,R11,R18",R0402,C25741,3
100nF,"C1,C10,C13,C2,C5,C6,C7",C0402,C1525,7
100pF,"C21,C22",C0402,C1546,2
10K,"R1,R16,R17,R2,R3,R4,R7,R8",R0402,C25744,8
10uF,"C11,C12,C14,C15,C16,C23,C24,C25,C9",C0603,C96446,9
1uF,"C17,C18,C3,C4,C8",C0402,C52923,5
1uH,L1,IND-SMD_L4.1-W4.1-1,C5289359,1
2.0-6P LT-BD,U4,2.0-6P LT-BD,C5363471,1
2.2K,R12,R0402,C25879,1
2.2uF,"C19,C20",C0603,C23630,2
33R,"R5,R6",R0402,C25105,2
600R,FB1,BLM31PG601SN1L,C16902,1
750K,R14,R0402,C137937,1
AP2210K-3.3TRG1,"IC3,IC4",AP2210K-3.3TRG1,C176959,2
Battery header #1,J4,2.0-2P LT,C668618,1
DMG3415U-7,Q1,DMG3415U-7,C96616,1
ESP32-S3-WROOM-1-N8,IC1,ESP32-S3-WROOM-1-N16R8,C2913202,1
LSM6DS3,U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C95230,1
MAX17048G+T10,U1,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,C2682616,1
MBR0540_C77337,D2,MBR0540,C77337,1
SZYY0805W,D1,SZYY0805W,C434434,1
TP4056X,IC2,TP4056X-42-ESOP8,C2763448,1
TPS61023DRLR,U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,C919459,1
TS-1101-C-W,"S1,S2",TS-1101-C-W,C318938,2
TSD003B06518A,SW1,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.6,C2888782,1
USBLC6-2SC6,IC5,USBLC6-2SC6,C7519,1
X+,J3,AFC11-S08ICC-00,C262301,1
X-,J6,AFC11-S08ICC-00,C262301,1
Y+,J5,AFC11-S08ICC-00,C262301,1
Y-,J2,AFC11-S08ICC-00,C262301,1
Z+,J7,AFC11-S08ICC-00,C262301,1
Z-,J1,AFC11-S08ICC-00,C262301,1
