Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0402,185.2201,-56.165,180.0,top
C10,100nF,C0402,180.7,-90.6,90.0,top
C11,10uF,C0603,156.0131,-72.02,270.0,bottom
C12,10uF,C0603,182.5,-73.0,90.0,bottom
C13,100nF,C0402,154.6131,-71.77,90.0,bottom
C14,10uF,C0603,192.6,-73.1,180.0,bottom
C15,10uF,C0603,155.3731,-64.66,0.0,bottom
C16,10uF,C0603,155.3831,-66.41,0.0,bottom
C17,1uF,C0402,179.2,-70.3,90.0,bottom
C18,1uF,C0402,179.3,-66.4,90.0,bottom
C19,2.2uF,C0603,173.6,-70.6,270.0,bottom
C2,100nF,C0402,186.1,-58.725,90.0,top
C20,2.2uF,C0603,173.7,-66.7,270.0,bottom
C21,100pF,C0402,179.6,-71.8,180.0,bottom
C22,100pF,C0402,179.6799,-67.9,180.0,bottom
C23,10uF,C0603,163.4,-59.3,0.0,bottom
C24,10uF,C0603,186.5,-89.5,0.0,top
C25,10uF,C0603,186.5,-91.2,0.0,top
C3,1uF,C0402,187.3,-58.725,-90.0,top
C4,1uF,C0402,171.9,-60.2,90.0,bottom
C5,100nF,C0402,173.1,-60.2,270.0,bottom
C6,100nF,C0402,154.6,-76.2,90.0,top
C7,100nF,C0402,154.6,-80.8,90.0,top
C8,1uF,C0402,155.8,-80.8,90.0,top
C9,10uF,C0603,182.1,-90.9,-90.0,top
D1,SZYY0805W,SZYY0805W,193.5,-75.17515,180.0,bottom
D2,MBR0540_C77337,MBR0540,181.6,-89.335,270.0,bottom
F1,1.1A,1206L110THYR,186.2,-86.2,90.0,top
FB1,600R,BLM31PG601SN1L,183.8,-86.3,-90.0,top
IC1,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1-N16R8,169.0,-83.255,180.0,top
IC2,TP4056X,TP4056X-42-ESOP8,187.2001,-75.5001,90.0,bottom
IC3,AP2210K-3.3TRG1,AP2210K-3.3TRG1,176.5,-70.8,180.0,bottom
IC4,AP2210K-3.3TRG1,AP2210K-3.3TRG1,176.6,-66.9,180.0,bottom
IC5,USBLC6-2SC6,USBLC6-2SC6,185.2,-80.7,90.0,top
J1,Battery header #1,2.0-2P LT,163.0,-54.82495,0.0,top
J2,Z-,AFC11-S08ICC-00,186.2,-69.5,0.0,top
J3,Y+,AFC11-S08ICC-00,174.7,-65.4,-90.0,top
J4,Y-,AFC11-S08ICC-00,158.0,-65.4,-90.0,top
J5,X-,AFC11-S08ICC-00,193.8,-67.2,-90.0,top
J6,X+,AFC11-S08ICC-00,167.0,-65.4,-90.0,top
J7,Z+,AFC11-S08ICC-00,178.2,-53.0,0.0,top
L1,1uH,IND-SMD_L4.1-W4.1-1,151.8931,-70.2899,90.0,bottom
Q1,DMG3415U-7,DMG3415U-7,182.6,-84.8,270.0,bottom
R1,10K,R0402,175.5,-78.8,270.0,bottom
R10,100K,R0402,158.1331,-69.42,0.0,bottom
R11,100K,R0402,159.57,-71.74,0.0,bottom
R12,2.2K,R0402,183.9,-78.5,0.0,bottom
R13,0R5,R1206,181.7,-77.5,90.0,bottom
R14,750K,R0402,158.1431,-68.22,180.0,bottom
R15,1.2K,R0805,193.6,-77.37515,180.0,bottom
R16,10K,R0402,185.2,-86.3,0.0,bottom
R17,10K,R0402,188.7,-86.3,0.0,bottom
R18,100K,R0402,185.2,-87.6,180.0,bottom
R2,10K,R0402,173.5,-78.8,270.0,bottom
R3,10K,R0402,183.4,-61.465,-90.0,top
R4,10K,R0402,184.6,-61.465,-90.0,top
R5,33R,R0402,180.75,-60.675,90.0,top
R6,33R,R0402,179.55,-60.675,90.0,top
R7,10K,R0402,155.8,-76.2,-90.0,top
R8,10K,R0402,157.0,-80.8,-90.0,top
R9,0R,R0402,179.5,-90.6,-90.0,top
S1,TS-1101-C-W,TS-1101-C-W,151.9,-72.0,-90.0,top
S2,TS-1101-C-W,TS-1101-C-W,151.8,-84.1999,90.0,top
SW1,TSD003B06518A,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.6,193.1999,-55.0,0.0,bottom
U1,MAX17048G+T10,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,175.1,-59.9,90.0,bottom
U2,LSM6DS3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,184.0,-58.6875,90.0,top
U3,TPS61023DRLR,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,155.3631,-68.86,270.0,bottom
U4,2.0-6P LT-BD,2.0-6P LT-BD,191.65,-83.5,90.0,top
